update_date,testing_program,group,Npos,Ntest,new.tests,new.pos,daily.pos,cmtv.perc.pos,cat
2020-08-18,RTC,fac.staff,28,12265,NA,NA,NA,0.22829188748471257,"Fac & Staff
(RTC)"
2020-08-19,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-20,RTC,fac.staff,28,12272,NA,NA,NA,0.22816166883963493,"Fac & Staff
(RTC)"
2020-08-21,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-22,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-23,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-24,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-25,RTC,fac.staff,28,12321,NA,NA,NA,0.22725428130833536,"Fac & Staff
(RTC)"
2020-08-26,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-27,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-08-28,RTC,fac.staff,28,12357,NA,NA,NA,0.22659221493890103,"Fac & Staff
(RTC)"
2020-08-29,RTC,fac.staff,28,12372,15,0,0,0.22631749110895572,"Fac & Staff
(RTC)"
2020-08-30,RTC,fac.staff,28,12391,19,0,0,0.22597046243241062,"Fac & Staff
(RTC)"
2020-08-31,RTC,fac.staff,28,12388,-3,0,-0,0.22602518566354535,"Fac & Staff
(RTC)"
2020-09-01,RTC,fac.staff,28,12392,4,0,0,0.22595222724338285,"Fac & Staff
(RTC)"
2020-09-02,RTC,fac.staff,28,12391,-1,0,-0,0.22597046243241062,"Fac & Staff
(RTC)"
2020-09-03,RTC,fac.staff,28,12400,9,0,0,0.22580645161290325,"Fac & Staff
(RTC)"
2020-09-04,RTC,fac.staff,28,12409,9,0,0,0.22564267870094287,"Fac & Staff
(RTC)"
2020-09-05,RTC,fac.staff,NA,NA,NA,NA,NA,NA,"Fac & Staff
(RTC)"
2020-09-06,RTC,fac.staff,28,12423,NA,NA,NA,0.2253883924977864,"Fac & Staff
(RTC)"
2020-09-07,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864,"Fac & Staff
(RTC)"
2020-09-08,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864,"Fac & Staff
(RTC)"
2020-09-09,RTC,fac.staff,28,12423,0,0,NaN,0.2253883924977864,"Fac & Staff
(RTC)"
2020-09-10,RTC,fac.staff,28,12425,2,0,0,0.22535211267605634,"Fac & Staff
(RTC)"
2020-09-11,RTC,fac.staff,28,12430,5,0,0,0.22526146419951731,"Fac & Staff
(RTC)"
2020-09-12,RTC,fac.staff,29,12438,8,1,12.5,0.23315645602186846,"Fac & Staff
(RTC)"
2020-09-13,RTC,fac.staff,30,12446,8,1,12.5,0.24104129840912744,"Fac & Staff
(RTC)"
2020-09-14,RTC,fac.staff,31,12449,3,1,33.33333333333333,0.24901598521969637,"Fac & Staff
(RTC)"
2020-09-15,RTC,fac.staff,31,12450,1,0,0,0.248995983935743,"Fac & Staff
(RTC)"
2020-09-16,RTC,fac.staff,31,12450,0,0,NaN,0.248995983935743,"Fac & Staff
(RTC)"
2020-09-17,RTC,fac.staff,43,12465,15,12,80,0.34496590453269155,"Fac & Staff
(RTC)"
2020-09-18,RTC,fac.staff,45,12475,10,2,20,0.36072144288577157,"Fac & Staff
(RTC)"
2020-09-19,RTC,fac.staff,45,12482,7,0,0,0.3605191475725044,"Fac & Staff
(RTC)"
2020-09-20,RTC,fac.staff,47,12486,4,2,50,0.3764215921832452,"Fac & Staff
(RTC)"
2020-09-21,RTC,fac.staff,47,12490,4,0,0,0.37630104083266613,"Fac & Staff
(RTC)"
2020-09-22,RTC,fac.staff,48,12498,8,1,12.5,0.3840614498319731,"Fac & Staff
(RTC)"
2020-09-23,RTC,fac.staff,49,12499,1,1,100,0.3920313625090007,"Fac & Staff
(RTC)"
2020-09-24,RTC,fac.staff,52,12506,7,3,42.857142857142854,0.4158004158004158,"Fac & Staff
(RTC)"
2020-09-25,RTC,fac.staff,53,12513,7,1,14.285714285714285,0.42355949812195315,"Fac & Staff
(RTC)"
2020-09-26,RTC,fac.staff,54,12524,11,1,9.090909090909092,0.4311721494730118,"Fac & Staff
(RTC)"
2020-09-27,RTC,fac.staff,54,12543,19,0,0,0.43051901458981107,"Fac & Staff
(RTC)"
2020-09-28,RTC,fac.staff,56,12557,14,2,14.285714285714285,0.44596639324679455,"Fac & Staff
(RTC)"
2020-09-30,RTC,fac.staff,57,12559,2,1,50,0.45385779122541603,"Fac & Staff
(RTC)"
2020-10-01,RTC,fac.staff,59,12578,19,2,10.526315789473683,0.4690729845762442,"Fac & Staff
(RTC)"
2020-10-02,RTC,fac.staff,59,12578,0,0,NaN,0.4690729845762442,"Fac & Staff
(RTC)"
2020-10-03,RTC,fac.staff,60,12600,22,1,4.545454545454546,0.4761904761904762,"Fac & Staff
(RTC)"
2020-08-18,RTC,students,43,9217,NA,NA,NA,0.4665292394488445,"Students
(RTC)"
2020-08-18,SHCC,students,189,970,NA,NA,NA,19.48453608247423,"Students
(SHCC)"
2020-08-19,RTC,students,NA,NA,NA,NA,NA,NA,"Students
(RTC)"
2020-08-19,SHCC,students,NA,NA,NA,NA,NA,NA,"Students
(SHCC)"
2020-08-20,RTC,students,43,9344,NA,NA,NA,0.4601883561643836,"Students
(RTC)"
2020-08-20,SHCC,students,191,981,NA,NA,NA,19.469928644240568,"Students
(SHCC)"
2020-08-21,RTC,students,NA,NA,NA,NA,NA,NA,"Students
(RTC)"
2020-08-21,SHCC,students,NA,NA,NA,NA,NA,NA,"Students
(SHCC)"
2020-08-22,RTC,students,NA,NA,NA,NA,NA,NA,"Students
(RTC)"
2020-08-22,SHCC,students,NA,NA,NA,NA,NA,NA,"Students
(SHCC)"
2020-08-23,RTC,students,45,9896,NA,NA,NA,0.45472918350848823,"Students
(RTC)"
2020-08-23,SHCC,students,193,1002,NA,NA,NA,19.261477045908183,"Students
(SHCC)"
2020-08-24,RTC,students,45,9902,6,0,0,0.4544536457281357,"Students
(RTC)"
2020-08-24,SHCC,students,193,1002,0,0,NaN,19.261477045908183,"Students
(SHCC)"
2020-08-25,RTC,students,45,9896,-6,0,-0,0.45472918350848823,"Students
(RTC)"
2020-08-25,SHCC,students,193,1002,0,0,NaN,19.261477045908183,"Students
(SHCC)"
2020-08-26,RTC,students,46,10025,129,1,0.7751937984496124,0.45885286783042395,"Students
(RTC)"
2020-08-26,SHCC,students,193,1002,0,0,NaN,19.261477045908183,"Students
(SHCC)"
2020-08-27,RTC,students,48,10472,447,2,0.44742729306487694,0.4583651642475172,"Students
(RTC)"
2020-08-27,SHCC,students,194,1019,17,1,5.88235294117647,19.03827281648675,"Students
(SHCC)"
2020-08-28,RTC,students,48,10570,98,0,0,0.4541154210028382,"Students
(RTC)"
2020-08-28,SHCC,students,194,1019,0,0,NaN,19.03827281648675,"Students
(SHCC)"
2020-08-29,RTC,students,49,10833,263,1,0.38022813688212925,0.45232160989568915,"Students
(RTC)"
2020-08-29,SHCC,students,195,1047,28,1,3.571428571428571,18.624641833810887,"Students
(SHCC)"
2020-08-30,RTC,students,49,11067,234,0,0,0.4427577482605946,"Students
(RTC)"
2020-08-30,SHCC,students,196,1058,11,1,9.090909090909092,18.525519848771268,"Students
(SHCC)"
2020-08-31,RTC,students,49,11071,4,0,0,0.4425977779785024,"Students
(RTC)"
2020-08-31,SHCC,students,196,1058,0,0,NaN,18.525519848771268,"Students
(SHCC)"
2020-09-01,RTC,students,49,11070,-1,0,-0,0.44263775971093045,"Students
(RTC)"
2020-09-01,SHCC,students,196,1058,0,0,NaN,18.525519848771268,"Students
(SHCC)"
2020-09-02,RTC,students,49,11191,121,0,0,0.4378518452327763,"Students
(RTC)"
2020-09-02,SHCC,students,199,1077,19,3,15.789473684210526,18.477251624883937,"Students
(SHCC)"
2020-09-03,RTC,students,50,11359,168,1,0.5952380952380952,0.44017959327405587,"Students
(RTC)"
2020-09-03,SHCC,students,203,1095,18,4,22.22222222222222,18.538812785388128,"Students
(SHCC)"
2020-09-04,RTC,students,52,11467,108,2,1.8518518518518516,0.4534751896747188,"Students
(RTC)"
2020-09-04,SHCC,students,209,1124,29,6,20.689655172413794,18.594306049822066,"Students
(SHCC)"
2020-09-05,RTC,students,56,11602,135,4,2.9629629629629632,0.4826754007929667,"Students
(RTC)"
