,update_date,value.2,N,value,testing_program,group
1,8/18/20,FS.test.RTC,12265,Faculty and Staff Tested (Without Symptoms),RTC,fac.staff
2,8/18/20,FS.pos.RTC,28,Faculty and Staff Positive (Without Symptoms),RTC,fac.staff
3,8/18/20,FS.percpos.RTC,0.0023,Percent Positive,RTC,fac.staff
4,8/18/20,S.test.RTC,9217,Students Tested (Without Symptoms),RTC,students
5,8/18/20,S.pos.RTC,43,Students Positive (Without Symptoms),RTC,students
6,8/18/20,S.percpos.RTC,0.0047,Percent Positive,RTC,students
7,8/18/20,S.test.SHC,970,Students With or Without Symptoms Tested for COVID-19,SHCC,students
8,8/18/20,S.pos.SHC,189,Students With or Without Symptoms Confirmed as Positive,SHCC,students
9,8/18/20,S.percpos.SHC,0.195,Percent Positive,SHCC,students
10,8/18/20,UF.affil.cases,831,Cases Identified and Followed Among UF Affiliates,contact.tracing,uf.affil
11,8/18/20,contacts.followed,1020,Contacts of UF Affiliates Identified and Followed,contact.tracing,uf.affil
12,8/18/20,UF.isol,217,UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine,contact.tracing,uf.affil
13,8/18/20,UF.affil.back,1634,UF Affiliates Returned to Campus,contact.tracing,uf.affil
14,8/20/20,FS.test.RTC,12272,Faculty and Staff Tested (Without Symptoms),RTC,fac.staff
15,8/20/20,FS.pos.RTC,28,Faculty and Staff Positive (Without Symptoms),RTC,fac.staff
16,8/20/20,FS.percpos.RTC,0.0023,Percent Positive,RTC,fac.staff
17,8/20/20,S.test.RTC,9344,Students Tested (Without Symptoms),RTC,students
18,8/20/20,S.pos.RTC,43,Students Positive (Without Symptoms),RTC,students
19,8/20/20,S.percpos.RTC,0.0046,Percent Positive,RTC,students
20,8/20/20,S.test.SHC,981,Students With or Without Symptoms Tested for COVID-19,SHCC,students
21,8/20/20,S.pos.SHC,191,Students With or Without Symptoms Confirmed as Positive,SHCC,students
22,8/20/20,S.percpos.SHC,0.195,Percent Positive,SHCC,students
23,8/20/20,UF.affil.cases,842,Cases Identified and Followed Among UF Affiliates,contact.tracing,uf.affil
24,8/20/20,contacts.followed,1031,Contacts of UF Affiliates Identified and Followed,contact.tracing,uf.affil
25,8/20/20,UF.isol,212,UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine,contact.tracing,uf.affil
26,8/20/20,UF.affil.back,1661,UF Affiliates Returned to Campus,contact.tracing,uf.affil
27,8/25/20,FS.test.RTC,12321,Faculty and Staff Tested (Without Symptoms),RTC,fac.staff
28,8/25/20,FS.pos.RTC,28,Faculty and Staff Positive (Without Symptoms),RTC,fac.staff
29,8/25/20,FS.percpos.RTC,0.0023,Percent Positive,RTC,fac.staff
30,8/25/20,S.test.RTC,9896,Students Tested (Without Symptoms),RTC,students
31,8/25/20,S.pos.RTC,45,Students Positive (Without Symptoms),RTC,students
32,8/25/20,S.percpos.RTC,0.0045,Percent Positive,RTC,students
33,8/25/20,S.test.SHC,1002,Students With or Without Symptoms Tested for COVID-19,SHCC,students
34,8/25/20,S.pos.SHC,193,Students With or Without Symptoms Confirmed as Positive,SHCC,students
35,8/25/20,S.percpos.SHC,0.193,Percent Positive,SHCC,students
36,8/25/20,UF.affil.cases,876,Cases Identified and Followed Among UF Affiliates,contact.tracing,uf.affil
37,8/25/20,contacts.followed,1078,Contacts of UF Affiliates Identified and Followed,contact.tracing,uf.affil
38,8/25/20,UF.isol,186,UF Affiliates or Contacts of UF Affiliates Currently in Isolation or Quarantine,contact.tracing,uf.affil
39,8/25/20,UF.affil.back,1768,UF Affiliates Returned to Campus,contact.tracing,uf.affil
40,8/28/20,FS.test.RTC,12357,Faculty and Staff Tested (Without Symptoms),RTC,fac.staff
41,8/28/20,FS.pos.RTC,28,Faculty and Staff Positive (Without Symptoms),RTC,fac.staff
42,8/28/20,FS.percpos.RTC,0.0023,Percent Positive,RTC,fac.staff
43,8/28/20,S.test.RTC,10570,Students Tested (Without Symptoms),RTC,students
44,8/28/20,S.pos.RTC,48,Students Positive (Without Symptoms),RTC,students
